top 10 Skills,# of Seekers with this skill,top industries,Qty,Score,Total Jobs,Top 5 Job Titles,Qty,Top Matches,Qty,Job seekers by Nationality,Qty,Seeker Name
HSQL,1555,Finance,1000,50,200,IT Administrator,984,IT Consultant,1000,Singapore,500,Alex Wong
Active Directory,230,Manufacturing,400,,,Network Engineer,2000,Auditor,800,India,1000,David Seah
Exchange Server,545,Oil and Gas,98,,,System Engineer,1500,System Engineer,500,Philippines,3000,Cindy craw
Windows Server,124,Biomedical,600,,,MC King1,400,IT Manager,300,Indonesia,600,
Domain Server,50,POWER,300,,,Chiong King,200,Medic,100,Malaysia,300,
SMTP Server,585,,,,,,,,,Myanmar,123,
HSQL,400,,,,,,,,,Bangladash,50,
Linux,98,,,,,,,,,,,
Windows 8,800,,,,,,,,,,,
Router,300,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
JobMatched:,,,,,,,,,,,,
Date Matched,Score,Rank,Job Function,Level,Salary,,,,,,,
7/7/14,230,23,Network Admin,Junior,2000-3000,,,,,,,
10/7/14,150,20,System Admin,Junior,3000-5000,,,,,,,
11/7/14,100,11,IT Manager,Manager,5000-8000,,,,,,,
12/7/14,300,9,IT Consultant ,Senior,7000-10000,,,,,,,
12/7/14,450,1,System Engineer,Senior,4000-7000,,,,,,,
13/7/14,200,4,Software Developer,Junior,4000-6000,,,,,,,
15/7/14,250,15,Application Support,Junior,3000-4000,,,,,,,
16/7/14,100,30,Helpdesk,Junior,2000-2500,,,,,,,
16/7/14,421,12,Network Admin,Senior,2500-3500,,,,,,,
20/7/14,230,5,IT Manager,Manager,8000-15000,,,,,,,
